date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:17	175/175	---MC-	200	added ('OK')	text/plain	etag:W/%221525-1722980106;gz%22	https://themejunction.net/robots.txt		(from )
21:33:17	76950/76950	---MC-	200	added ('OK')	text/html	etag:W/%2212c96-6693731f-85e0de7fc4e1c303;gz%22	https://themejunction.net/html/gerold/demo/	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/index.html	(from )
21:33:19	1260/1260	---M--	200	added ('OK')	image/png	etag:%224ec-65e9710a-f424034e30668b0b;;;%22	https://themejunction.net/html/gerold/demo/assets/img/favicon.png	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/img/favicon.png	(from https://themejunction.net/html/gerold/demo/)
21:33:20	54454/54454	---MC-	200	added ('OK')	text/css	etag:W/%22d4b6-65d44e36-758ed07bae923d11;gz%22	https://themejunction.net/html/gerold/demo/assets/css/animate.min.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/animate.min.css	(from https://themejunction.net/html/gerold/demo/)
21:33:22	232947/232947	---MC-	200	added ('OK')	text/css	etag:W/%2238df3-65d44e36-35776cd12d6ce2e9;gz%22	https://themejunction.net/html/gerold/demo/assets/css/bootstrap.min.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/bootstrap.min.css	(from https://themejunction.net/html/gerold/demo/)
21:33:23	2967/2967	---MC-	200	added ('OK')	text/css	etag:W/%22b97-6645ca99-ad6d8ca96acf3eed;gz%22	https://themejunction.net/html/gerold/demo/assets/css/flaticon_gerold.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/flaticon_gerold.css	(from https://themejunction.net/html/gerold/demo/)
21:33:24	511983/511983	---MC-	200	added ('OK')	text/css	etag:W/%227cfef-65d44e36-f5074f4cd24a52e6;gz%22	https://themejunction.net/html/gerold/demo/assets/css/font-awesome-pro.min.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/font-awesome-pro.min.css	(from https://themejunction.net/html/gerold/demo/)
21:33:25	4007/4007	---MC-	200	added ('OK')	text/css	etag:W/%22fa7-65d44e36-ba3ef594970ac762;gz%22	https://themejunction.net/html/gerold/demo/assets/css/nice-select.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/nice-select.css	(from https://themejunction.net/html/gerold/demo/)
21:33:26	1047/1047	---MC-	200	added ('OK')	text/css	etag:W/%22417-65e70fc8-22e24025712fdd8a;gz%22	https://themejunction.net/html/gerold/demo/assets/css/backToTop.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/backToTop.css	(from https://themejunction.net/html/gerold/demo/)
21:33:27	3351/3351	---MC-	200	added ('OK')	text/css	etag:W/%22d17-65d44e36-c280ca71448588c5;gz%22	https://themejunction.net/html/gerold/demo/assets/css/owl.carousel.min.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/owl.carousel.min.css	(from https://themejunction.net/html/gerold/demo/)
21:33:28	19033/19033	---MC-	200	added ('OK')	text/css	etag:W/%224a59-6645ca99-aa40c2cc11fe2850;gz%22	https://themejunction.net/html/gerold/demo/assets/css/swiper.min.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/swiper.min.css	(from https://themejunction.net/html/gerold/demo/)
21:33:29	4012/4012	---MC-	200	added ('OK')	text/css	etag:W/%22fac-65d44e36-c038fc1ef33a99c7;gz%22	https://themejunction.net/html/gerold/demo/assets/css/odometer-theme-default.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/odometer-theme-default.css	(from https://themejunction.net/html/gerold/demo/)
21:33:30	6951/6951	---MC-	200	added ('OK')	text/css	etag:W/%221b27-65d44e36-5e2fbc2395fa013e;gz%22	https://themejunction.net/html/gerold/demo/assets/css/magnific-popup.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/magnific-popup.css	(from https://themejunction.net/html/gerold/demo/)
21:33:31	81335/81335	---MC-	200	added ('OK')	text/css	etag:W/%2213db7-669372d4-6ede03a3a9414afd;gz%22	https://themejunction.net/html/gerold/demo/assets/css/main.css	C:/Users/khalad%20sheikh/Downloads/portfolio_09/themejunction.net/html/gerold/demo/assets/css/main.css	(from https://themejunction.net/html/gerold/demo/)
